Simplified User View Requirements,,,
✓,Req ID,Requirement,Description/Notes
,FR-11,Reporting - Firm Payoff,Users get a report that details all transactions and the payoff amount to satisfy the selected Matter's principal balance.
☐,FR-11.1,Users shall use link next to Matter or a drop down to select a specific Matter to generate a firm payoff report.,
☐,FR-11.2,"Firm Payoff Report will display: Matter ID, Date of Report, Summary (all draws, total interest accrued, principal paid, interest paid, interest owed via next autodraft payment, and total firm payoff amount = principal balance), as well as an invoice style listing of all transaction activity.",
☐,FR-11.3,Option to print or export to PDF,
☐,FR-11.4,Generating Firm Payoff Report also generates Client Payoff Report.,
,FR-12,Reporting - Client Payoff,Users get a report that details all transactions and the payoff amount to present to their client to satisfy and fully reimburse the user.
☐,FR-12.1,Users shall use link next to Matter or a drop down to select a specific Matter to generate a client payoff report.,
☐,FR-12.2,"Client Payoff Report will display: Law firm details and logo, Matter ID, Date of Report, Summary (all draws, total interest accrued, and total client payoff amount = principal balance+interest), as well as an invoice style listing of all transaction activity.",
☐,FR-12.3,Option to print or export to PDF,
,FR-13,Reporting - Funding Report,Users get a report that details the amounts funded/applied to all Matters on a selected date.
☐,FR-13.1,Users shall use dropdown selector tool to choose a single draw date.,
☐,FR-13.2,Report generates all Matters and amounts identified by the selected date.,
☐,FR-13.3,"Report displays as invoice style report: law firm info and logo, date, total draw amount, and Matter ID, Purpose, and individual amounts that make up the total.",
☐,FR-13.4,Option to print or export to PDF,
,FR-14,Reporting - Finance Charge Report,Users get a report that details how each monthly interest autodraft payment is allocated across all Matters on a selected date.
☐,FR-14.1,Users shall use dropdown selector tool to choose a Interest Payment date.,
☐,FR-14.2,Report generates all Matters and amounts identified by the selected date.,
☐,FR-14.3,"Report displays as invoice style report: law firm info and logo, date, total interest payment amount, and Matter ID, Principal Balance, and individual interest payment amounts applied to each Matter.",
☐,FR-14.4,Option to print or export to PDF,
,FR-15,Monitoring,Users see alerts for unassigned transactions and data quality issues requiring attention.
☐,FR-15.1,Users shall see warning highlighting which closed cases have unpaid principal balances.,
☐,FR-15.2,Users shall see how many days have passed since each case closed,
☐,FR-15.3,Users shall see color-coded alerts: [Yellow warning: 20-29 days since case closed: Red error: 30+ days since case closed (payment overdue)],
,FR-16,Master Dashboard,"Users view portfolio summary, generate case reports, and export data for accounting and audits."
☐,FR-16.1,"Users shall see a master dashboard displaying: Total outstanding principal balance across all cases (this should match principal balance from banking platform), Total interest accrued across all cases, Number of active cases.",
☐,FR-16.2,Users shall see current effective interest rate information.,
☐,FR-16.3,"Users shall be able to search for specific Matters and generate a case summary report showing: Matter number, Client name, Case status, Total draws, Total interest, Total payments, Balance due.",
☐,FR-16.4,Users should be able to access link for payoff reports using Matter search feature.,
,FR-17,Banking Functions,"Users draw on or pay back their line of credit through the tool, the corresponding data is automatically updated"
☐,FR-17.1,User shall be able to draw on line of credit inside the system,Upon full bank connectivity
☐,FR-17.2,User shall be able to repay line of credit inside the system,
